Account Name,CAPdb Rating,# of Cars Sold Per Month*,Vehicles in Inventory*,# of Salespeople employed*,Single or Multi Point Store*,Current DMS being Utilized*,Current DMS being Utilized (If Other)
Fidelity Ventures,no rating,,,,,FEX (FinanceExpress),
Fidelity Ventures,no rating,,,,,FEX( FinanceExpress),
Fiedler Ford Inc,C,0-100,36,,Single,AutoSoft,
Fiehrer Motors Inc,no rating,,214,,,,
Field Ford - Merc Inc,A,0-100,10,,Single,,
Fieldhouse Ford,B,0-100,126,0-5,Single,AutoMate,
Field of RV Dreams,no rating,,,,,,
Fields BMW Northfield,No rating,,968,,Multi Point,,
Fields Bros Motorsport Auto Sales,no rating,,,,,,
Fields Chrysler Jeep Dodge Ram,A,0-100,537,10-Jun,Multi,DealerTrack,
Fields Infiniti Glencoe,A,101-175,211,10-Jun,Multi,DealerTrack,
Fields Jaguar L/R Jacksonville,C,0-100,81,6/10/2015 0:00,Multi,ADP,
Fields Jaguar Land Rover Volvo Madison,B,0-100,101,0-5,Multi,ADP,
Fields Jaguar Land Rover Volvo Waukesha,B,0-100,277,10-Jun,Multi,ADP,
Fields Motor Cars Of Florida,A,101-175,1197,,Single,ADP,
"Fields Motorcars of Florida, Inc.",B,,,,,,
"Fields Motorcars Of Florida, Inc.",A,101-175,179,6/10/2015 0:00,Multi,Reynolds,
"Fields Motorcars of Florida, Inc.",B,0-100,146,6/10/2015 0:00,Multi,ADP,
"Fields Motor Cars Of Florida, Inc.",B,0-100,181,6/10/2015 0:00,Multi,ADP,
Fields Motorcars of Florida Inc,No rating,,,,,,
Fields Of Daytona LLC,A,300+,644,6/10/2015 0:00,Multi,ADP,
"Fields Pag, Inc.",B,0-100,521,,Multi,ADP,
Fields Used Cars,no rating,,,,,,
Fields Volkswagen,C,0-100,177,6/10/2015 0:00,Multi,ADP,
Fields Volvo Northfield,no rating,0-100,322,0-5,Multi Point,ADP,
Fierge Auto Sales,B,31-49,90,10-Jun,Multi Point,Other,Mark20
"Fierges Cars Unlimited, L",B,31-49,80,0-5,Multi Point,Other,Mark20
Fierge Used Cars,B,31-49,80,0-5,Multi Point,Other,Mark20
Fierro Auto Sales,,,,,,,
Fiesta Auto Agency,,,,,,,
Fiesta Auto Group,,,,,,,
Fiesta Automobiles,no rating,,,,,,
Fiesta Auto Sales Inc,,,,,,,
Fiesta Car Sales,,,,,,FEX (FinanceExpress),
Fiesta Chevrolet,no rating,,444,,,Reynolds,
Fiesta Credit,D,15-Jan,40,0-5,Single,AutoAction,
Fiesta Ford,A,175-300,309,,Single,ADP,
Fiesta Honda,A,175-300,403,10-Jun,Multi,ADP,
Fiesta Hyundai,no rating,,163,,,,
Fiesta Kia,No rating,,250,,,,
Fiesta Lincoln,no rating,,155,,,Reynolds,
Fiesta Motors,,,,,,,
Fiesta Motors,no rating,,,,,FEX (FinanceExpress),
Fiesta Motors,C,16-30,70,0-5,Single,Other,DealerSync
Fiesta Motors,A,50+,50,10-Jun,Single,AutoStar,
"Fiesta Motors, Inc.",no rating,,,,,,
"Fiesta Motors, LLC",D,,15,0-5,Single,Frazer,
Fiesta Motors of Lubbock,no rating,15-Jan,,,,AutoStar,
Fiesta Motors - Woodbridge,no rating,,,,,,
Fiesta Nissan,C,0-100,169,6/10/2015 0:00,Multi,,
Fiesta Nissan,No rating,,,,,Reynolds,
Fife RV,no rating,50+,219,,,Reynolds,
Fifth Avenue Auto Haus Ltd.,no rating,,,,,,
Fifth Avenue Auto Sales,D,15-Jan,15,0-5,Single,None,
Fifth Gear Automotive,,,,,,,
Fifth Street Motors - Eureka,B,31-49,50,0-5,Single,Frazer,
Fifth Street Motors - Moultrie,D,15-Jan,20,0-5,Single,None,
Fifty One Auto Sales,,,,,,,
Fig Autos,no rating,,,,,,
"Fig Investment, LLC",,,,,,,
Fike Chevrolet Company,A,,68,,,,
Fikes Chevrolet,no rating,,,,,AutoSoft,AutoSoft
Fillback Automotive,B,0-100,203,,Multi,DealerBuilt(LightYear),
Fillback Chevrolet Buick,B,0-100,160,10-Jun,Multi,DealerBuilt(LightYear),
Fillback Ford Inc,A,0-100,195,0-5,Multi Point,DealerBuilt(LightYear),
FILO,,,,,,,
Filter Motorcar Co,D,,25,0-5,Single,None,
Final Auto,no rating,15-Jan,20,0-5,Single,,
Final Drive Auto Sales Inc,C,16-30,45,0-5,Single,Frazer,
Final Stop Auto Sales,D,15-Jan,25,0-5,Single,Frazer,
Finance Auto Sales,A,50+,255,10-Jun,Single,DealerTrack,
Finance Auto Sales,D,15-Jan,30,0-5,Single,None,Autologic
Finance Auto Sales LLC,D,15-Jan,25,0-5,Single,DealerCenter (Westlake),
Finance Co of Kansas,,,,,,,
Financed-Auto.Com,no rating,,,,,,
Finance Motors LLC,D,15-Jan,35,0-5,Single,Frazer,
Finance Motors of Crowley,D,15-Jan,30,0-5,Single,FEX (FinanceExpress),
Financial Auto Group LLC,,,,,,,
"Financial Consultants International, Inc",A,15-Jan,0,0-5,Single,None,
Financial RUS LLC,,,,,,,
Financial Services of Mississippi Inc.,A,15-Jan,,31-40,Single,AutoStar,
Financing Wwel,D,15-Jan,15,0-5,Single,None,
Financit Inc.,D,15-Jan,35,0-5,Single,Frazer,
Finau Motors,no rating,,,,,,
Fincannon Ford,B,0-100,58,0-5,Single,ADP,
Finch's Greene County Motor Co,A,16-30,70,0-5,Single,ADP,
Finch Chevrolet Cadillac Buick GMC Ltd,no rating,,259,,,,
Finch Chrysler Dodge Jeep Ram,no rating,,358,,,Quorum,
Fincher's Texas Best Auto & Truck Sales - N Freeway,no rating,,,,,ADP,ADP
Fincher's Texas Best Auto & Truck Sales - Tomball,no rating,,,,,ADP,
Fincher Truck & Equipment,,,,,,,
Finch Hyundai,no rating,,,,,,
"FINCO SERVICES, INC",A,50+,150,21-30,Single,FEX (FinanceExpress),Arkona
Findlay Acura,A,,172,,,,
Findlay Buick GMC Prescott,No rating,,,,,ADP,ADP
Findlay Cadillac,B,101-175,276,11/15/2015 0:00,Multi,ADP,
Findlay Chevrolet,A,,692,,,,
Findlay Chrysler Dodge Jeep Ram,A,101-175,302,6/10/2015 0:00,Single,ADP,
Findlay Chrysler Jeep Dodge Ram,C,0-100,331,,Single,ADP,
Findlay Chrysler Jeep Dodge Ram Post Falls,B,0-100,292,6/10/2015 0:00,Multi,ADP,
Findlay Fiat,A,,,,,ADP,
Findlay Fleet Plus,,,,,,,
Findlay Honda Flagstaff,C,0-100,721,6/10/2015 0:00,Single,ADP,
Findlay Honda Henderson,A,300+,383,,Multi,ADP,ADP
Findlay Honda - Las Vegas,no rating,,340,,,,
Findlay Hyundai,no rating,,,,,,
Findlay Hyundai Post Falls,B,0-100,190,,Multi,ADP,
Findlay Hyundai Subaru,B,,112,,Multi,ADP,ADP
Findlay Kia,no rating,,86,,,ADP,ADP
Findlay Kia Las Vegas,A,175-300,446,,Multi,ADP,
Findlay Lincoln,no rating,,,,,ADP,ADP
Findlay Motor Co,No rating,,185,,,ADP,
Findlay Nissan Post Falls,A,101-175,243,6/10/2015 0:00,Multi,ADP,
Findlay North Volkswagen,B,101-175,355,11/15/2015 0:00,Multi,ADP,
Findlay RV,,,,,,,
Findlay Subaru-St George,no rating,,77,,,,
Findlay Toyota,no rating,300+,921,,,ADP,
Findlay Toyota Flagstaff,no rating,,1088,,,ADP,
"Findlay TY Prescott, LLC",No rating,,,,,ADP,ADP
Findlay VW Flagstaff,C,,122,,Multi,ADP,
Findlay VW of Henderson,no rating,,362,,,ADP,ADP
Findlay VW St George,A,0-100,70,,Single,ADP,ADP
Fine Art Motors Inc.,D,15-Jan,40,0-5,Single,Wayne Reaves,
Fine Auto Sales,C,16-30,70,0-5,Single,None,
Fine Cars Auto,D,15-Jan,20,0-5,Single,None,
Fine Cars Motors,,,,,,,
Fine Cars of St Louis,no rating,,,,,,
Fineline Auto,no rating,,,,,,
Fine Line Auto,A,31-49,79,10-Jun,Single,DealerTrack,
Fine Line Auto,,,,,,,
Fine Line Auto Sales & Detail,B,31-49,50,0-5,Single,Frazer,
Fine Line Trim & Upholstery,,,,,,,
Fine Luxury Cars,C,16-30,80,0-5,Single,FEX (FinanceExpress),
Fine Motorcars,no rating,,,,,,
Fine Rides Auto Sales,no rating,,,,,,
Fines Ford Lincoln Sales,no rating,0-100,170,10-Jun,Multi Point,PBS,
Fines Lincoln Sales And Service,B,0-100,180,10-Jun,Single,PBS,
Finest Euro Classics,no rating,,,,,,
Finger Lakes Chrysler Dodge Jeep Ram,no rating,,366,,,,
Finger Lakes Harley-Davidson,,,,,,,
Finish Line,no rating,,,,,,
Finish Line Auto Mart,no rating,,,,,,
Finishline Automobile LLC,,,,,,,
Finish Line Automotive Sales,,,,,,,
Finish Line Auto Sales,,,,,,,
Finish Line Auto Sales,,,,,,,
Finish Line Auto Sales,D,15-Jan,36,0-5,Single,Other,Micro 21
"Finish Line Auto Sales, Inc",C,16-30,50,10-Jun,Single,iDMS,
Finish Line Auto Sales Inc,,,,,,,
Finish Line Auto Sales Inc.,C,16-30,20,0-5,Single,Other,Saleslifter
Finish Line Auto Sales - Jonesville,no rating,,,,,,
Finish Line Auto Sales - Loveland,B,31-49,50,0-5,Single,DealerClick,DealerClick
Finish Line Auto Sales - Springville,C,16-30,60,0-5,Multi Point,Frazer,
Finishline Autos Llc,,,,,,,
Finish Line Autosports,no rating,,,,,,
Finish Line Auto Wholesalers,no rating,,,,,,
"Finishline Cars, Inc.",no rating,,30,,,FEX (FinanceExpress),
Finish Line Car Wash & Detail,,,,,,,
Finish Line Motors,C,16-30,30,0-5,Single,None,
Finish Line Motors,C,16-30,85,0-5,Single,Frazer,
Finish Line Motors,no rating,,,,,,
Finish Line Motors LLC,no rating,,,,,,
Finish Line Motors - Mason City,no rating,,,,,,
Finish Line Motors - Morgantown,A,50+,120,0-5,Single,Frazer,
Finish Line Motors - Tulsa,D,15-Jan,,0-5,Single,None,
Finish Line Sales,no rating,,,,,,
Fink's Harley-Davidson,,,,,,,
Fink's Quality Cars,A,101-175,300,10-Jun,Single,None,
Fink Golf Cars,D,15-Jan,5,0-5,Single,None,
Finley Dencker Buick GMC,B,,132,,,Prism(ACS),
Finley Motors Incorporated,B,0-100,143,6/10/2015 0:00,Multi,,
Finley Motorsports,no rating,,,,,,
Finley River Motors,no rating,,20,0-5,,,
Finley River Motors - Rogersville,no rating,,,,,,
Finman's Motorcar Co,,,,,,,
Finnegan Chevrolet,no rating,,564,,Multi,,
Finnegan Chrysler Jeep Dodge,A,175-300,642,,,ADP,
Finneron Hyundai,no rating,0-100,150,0-5,Single,Quorum,Quorum
Finney's Auto & Truck,,,,,,,
Finnicum Motor Company,A,50+,366,15-Nov,Multi,Wayne Reaves,
Finnicum Motor Company of Americus,,,,,,,
Finnin Kia,A,,471,,Single,,
Finochetti's Auto,D,15-Jan,5,0-5,Single,None,
Finsanto Automotive,,,,,,,
Fiore's Used Trucks Inc.,B,,39,0-5,Single,AutoManager (DeskManager),
Fiore Audi,,,,,,,
Fiore Buick GMC,A,101-175,213,6/10/2015 0:00,Multi,ADP,
Fiore Toyota,,,,,,,
Fiore Volkswagen,A,101-175,90,6/10/2015 0:00,Multi,ADP,
Fiory Motors,D,15-Jan,50,0-5,Single,None,
FIPCO,,,,,,,
FireHouse Auto Sales,,,,,,,
Firehouse Auto Sales,D,15-Jan,5,0-5,Single,None,
FireHouse Brothers,C,16-30,50,0-5,Single,DealerCenter (Westlake),
Firestation Auto Center,B,31-49,50,0-5,Single,None,
Fire Station Motors,no rating,,,,,,
Firestone Auto Sales,B,31-49,50,0-5,Single,None,
Firestone Park Motor Cars,D,15-Jan,20,0-5,Single,Frazer,
Fire Truck Auto Sales,,,,,,,
Firkins Chrysler Jeep Dodge Ram,no rating,101-175,854,15-Nov,Multi Point,Reynolds,
Firkins Mitsubishi-Bradenton,B,0-100,380,,Multi,Reynolds,
Firkins Nissan,A,101-175,0,21-30,Multi Point,Reynolds,
Firl Auto Sales,,,,,,,
Firmco Leasing,no rating,,,,,,
Firm Foundation Homes & Auto,no rating,,,,,,
Firmin Ford Inc,B,,98,,,,
First Acura,C,0-100,129,6/10/2015 0:00,Single,DealerTrack(Arkona),
First Atlantic Auto Credit,A,50+,,0-5,,,
First Auto Credit LLC,A,50+,300,0-5,Single,Frazer,
First Automotive,,,,,,,
First Auto Sales,B,,100,,,None,
First Ave Motors,,,,,,,
First Avenue Autos,D,15-Jan,40,0-5,Single,Frazer,
First Call Roadside,,,,,,,
First Capitol Auto Sales,no rating,,,,,,
First Car,,,,,,,
"First Car Automotive Group, LLC",D,,50,0-5,Single,FEX (FinanceExpress),
FIRST CASH FINANCIAL SERVICES,,,,,,,
First Choice Auto,,,,,,,
First Choice Auto,D,15-Jan,35,0-5,Single,Frazer,
First Choice Auto,,,,,,,
First Choice Auto,no rating,,,,,AutoXplorer,
First Choice Auto Center - 1,no rating,,,,,,
First Choice Auto Center - 2,no rating,,,,,,
First Choice Auto Dealers,,,,,,,
First Choice Auto - Geneva,D,15-Jan,10,0-5,Single,None,
First Choice Auto Inc.,C,16-30,45,0-5,Single,Wayne Reaves,
"First Choice Automotive, Inc.",no rating,,,,,,
First Choice Automotive - Blairsville,D,15-Jan,10,0-5,Single,,
First Choice Automotive - Forest,D,15-Jan,6,,,,
First Choice Auto - Newburgh,no rating,,20,,,,
First Choice Auto Sales,,,,,,,
First Choice Auto Sales,,,,,,,
First Choice Auto Sales,C,16-30,50,0-5,Single,Wayne Reaves,
First Choice Auto Sales,,,,,,,
First Choice Auto Sales - Bakersfield 1,A,16-30,40,0-5,Multi,DealerTrack,
First Choice Auto Sales - Bakersfield 2,A,16-30,40,0-5,Multi Point,DealerTrack,
First Choice Auto Sales Group,,,,,,,
First Choice Auto Sales - Lawndale,D,15-Jan,15,0-5,Single,Other,Easydeal
First Choice Auto Sales - Little River,C,16-30,45,0-5,Single,Wayne Reaves,
First Choice Auto Sales of Midland LLC,D,15-Jan,10,0-5,Single,None,
First Choice Auto Sales - Petal,D,15-Jan,15,0-5,Single,Frazer,
First Choice Auto Sales - Richwood,no rating,,,,,,
First Choice Auto Sales - Rock Island,D,15-Jan,30,0-5,Single,Frazer,
First Choice Auto Sales - Sedalia,D,15-Jan,10,0-5,Single,None,
First Choice Autos Llc,C,16-30,35,0-5,Single,AutoManager (DeskManager),
First Choice Auto - Union Park,D,15-Jan,25,0-5,Single,Other,dealer automate
First Choice Cars of SW Florida,B,31-49,100,0-5,Multi Point,Other,Shiftpoint
First Choice Motors - Greeley,no rating,,,,,,
First Choice Motors Inc,,,,,,,
First Choice Motors Inc.,D,15-Jan,,0-5,Single,Wayne Reaves,
First Choice Motors - Lubbock,A,,150,,,,
First Chrysler,B,,203,,,,
First Chrysler Dodge Jeep Ram,,,,,,,
First City Automotive Group LLC,D,15-Jan,30,0-5,Single,,
First City Cars and Trucks,,,,,,,
First City Cars and Trucks,,,,,,,
First Class Auto,A,16-30,65,0-5,Single,DealerTrack,
"First Class Auto, Inc",C,16-30,70,0-5,Single,Other,Own
First Class Auto 1,D,15-Jan,19,,,,
First Class Auto Export Inc,no rating,,,,,,
First Class Auto Land,no rating,,,,,,
First class auto leasing,no rating,,,,,,
First Class Automotive Sales Inc.,D,15-Jan,5,0-5,Single,None,
First Class Auto Sales,no rating,,,,,FEX (FinanceExpress),
First Class Auto Sales,,,,,,,
First Class Auto Sales Inc,B,31-49,90,0-5,Single,Other,Ad Pro
First Class Auto Sales Inc,A,50+,75,0-5,Multi Point,Frazer,
First Class Auto Sales - Pleasant Grove,B,31-49,65,0-5,Multi Point,Frazer,
First Class Auto Shipping,,,,,,,
First Class Autos Inc.,B,31-49,50,0-5,Single,Frazer,
First Class Auto Wholesale Inc,B,31-49,80,0-5,Multi Point,AutoManager (DeskManager),
First Class Car Co,D,15-Jan,10,0-5,Single,None,
First Class Cars Inc.,B,31-49,100,0-5,Single,Other,Automotive Business
First Class Industries,no rating,,,,,,
First Class Motor,,,,,,FEX (FinanceExpress),
First Class Motorcars,,,,,,,
First Class Motors,no rating,,,,,FEX (FinanceExpress),
First Class Motors - Greeley,C,16-30,70,0-5,Single,None,
First Class Motors II,,,,,,FEX (FinanceExpress),
First Coast Acceptance,,,,,,,
First Coast Auto Connection,D,15-Jan,40,0-5,Single,Frazer,
First Coast Auto Sales - Jacksonville,A,16-30,30,0-5,Multi Point,Other,Procom
First Coast Auto Sales - Jacksonville 2,A,,150,,Multi,,
First Credit,,,,,,,
First Family Inc,no rating,101-175,273,15-Nov,Multi Point,Reynolds,
First Florida Motor Sports Inc.,B,,100,,,,
First Ford,no rating,,367,,,,
First Gear Motors LLC,D,15-Jan,15,0-5,Single,,
First Help Financial LLC,no rating,,,,,,
First Honda,B,101-175,268,6/10/2015 0:00,Multi,ADP,ADP
First Hyundai,A,175-300,517,11/15/2015 0:00,Multi,Reynolds,
First International Auto group,C,16-30,85,0-5,Single,Other,
First Kia,B,175-300,164,15-Nov,Multi,ADP,ADP
First Landing Auto Sales,D,15-Jan,10,0-5,Single,Comsoft (Money Maker),ComSoft Money Maker
First Leasing Corp,B,16-30,100,,,FEX (FinanceExpress),
"First Line Equipment Sales, Inc.",D,15-Jan,20,0-5,Single,None,
FirstLook,,,,,,,
First National Auto Group,,,50,,,,
First National Autos,A,31-49,70,0-5,Single,DealerTrack,
First National Auto Sales,,31-49,394,,,FEX( FinanceExpress),
First National Cars & Trucks,C,16-30,20,0-5,Single,Frazer,
First National Fleet & Lease Inc.,A,31-49,100,10-Jun,Multi,DealerTrack,
First National Fleet and Lease,A,300+,287,,,FEX (FinanceExpress),
First Nissan,C,0-100,230,6/10/2015 0:00,Multi,ADP,ADP
First On Queensway Auto Sales,no rating,,,,,,
First Peachtree Finance,,15-Jan,,,,,
First Place Auto,no rating,15-Jan,,,,AutoStar,
First Place Auto Sales Inc.,B,,100,,,,
First Place Motors,no rating,,10,,,,
First Place Rental,,,,,,,
FIRST RATE AUTO,,,,,,,
First Rate Auto Sales,no rating,,,,,,
First Rate Auto Sales Inc,B,31-49,50,10-Jun,Single,,SkyWerks
First Rate Car Co LLC,,,,,,,
First Rate Motors,no rating,,51,,,,
First Rate Motors Ltd,no rating,,,,,,
First South Auto Finance Inc,no rating,,,,,,
First State Chevrolet,B,0-100,194,6/10/2015 0:00,Single,AutoSoft,
First St Auto Group,no rating,,,,,,
First Step Auto Finance,B,,100,,,,
"First Step Auto Sales, Inc.",no rating,,11,0-5,Single,DealerCenter (Westlake),
First Stop,,,,,,,
First Stop Auto Sales,C,16-30,40,0-5,Single,Wayne Reaves,
First Stop Auto Sales,,,,,,,
First Stop Auto Sales - Aurora,no rating,,,,,,
First Stop Auto Sales Inc.,D,15-Jan,30,,,,
"First Stop Enterprises,Inc",D,15-Jan,5,0-5,Single,Wayne Reaves,
First Street First,no rating,,,,,,
"FirstSun Financial, Inc.",no rating,,,,,,
First Team Honda - Chesapeake,B,0-100,193,6/10/2015 0:00,Multi,,
First Team Hyundai,A,300+,218,,Multi,ADP,
First Team Kia,no rating,,96,,,,
First Team Nissan,,,,,,,
First Team Nissan of Christiansburg,,,,,,,
First Team Subaru,,,,,,,
First Team Subaru,,,,,,,
First Team Toyota,A,101-175,153,15-Nov,Multi,VinSolutions,
First Team Volkswagen,D,,4,,,,
First Texas Auto Credit,,,,,,,
First Texas Honda,A,300+,441,,Single,Delete,
First Trading Co Inc East,A,50+,150,10-Jun,Multi,Frazer,
First Trading Co Inc West,A,50+,150,0-5,Multi,Frazer,
First Union Auto LLC,B,16-30,105,0-5,Single,,
First Union Automotive LLC,B,31-49,100,0-5,Single,Wayne Reaves,
First Wheels,no rating,,,,,,
Fisackerly Sales,B,31-49,50,0-5,Single,Frazer,
Fisch-Bone Enterprise,A,,,,,FEX (FinanceExpress),
Fischer Auto Sales,B,31-49,,0-5,Multi,None,
Fischer Honda,no rating,,130,,Single,Reynolds,
Fischers Jerry Used Car Sales,A,16-30,30,0-5,Single,DealerTrack,
"Fishacar, Ltd",B,101-175,222,6/10/2015 0:00,Multi,ADP,
"Fishacar, Ltd",no rating,,230,,,,
Fish Creek Nissan,A,101-175,350,15-Nov,Single,VinSolutions,
Fisher's Automotive Sales Inc,C,16-30,50,0-5,Single,None,
Fisher's Auto Sales,no rating,,,,,,
Fisher's Auto Sales & Services,D,15-Jan,10,0-5,Single,None,
Fisher's Auto Sales - Victoria,C,16-30,75,0-5,Single,AutoAction,
Fisher Auto Group,D,15-Jan,20,0-5,Single,Other,dealers link
Fisher Automotive,A,,381,,Multi Point,,
Fisher Auto Sales,no rating,,,,,,
Fisher Auto Sales,,,,,,FEX (FinanceExpress),
Fisher Chevrolet,no rating,,,,,ADP,ADP
Fisher Dodge,no rating,,442,,,ADP,ADP
Fisher Honda and Kia,no rating,101-175,250,15-Nov,,Reynolds,
Fisher Hyundai,B,,,,,,
Fishers Auto Mall Inc.,B,31-49,,10-Jun,Single,None,
Fishers Imports,A,31-49,,,,DealerTrack(Arkona),
Fish River Crafts Inc,,,,,,,
Fishtail Investments Inc,no rating,15-Jan,,,,FEX (FinanceExpress),
Fish Tales Auto Sales,D,15-Jan,5,0-5,Single,None,
Fisk Auto Sales Inc,D,15-Jan,20,0-5,Single,Wayne Reaves,
Fito's Auto Sales,B,31-49,70,0-5,Single,AutoXplorer,
Fitzgerald's Countryside Chrysler Jeep,No rating,300+,500,16-20,Multi Point,Reynolds,
Fitzgerald's Countryside Hyundai,No rating,300+,737,21-30,Multi Point,Reynolds,
Fitzgerald Auto Mall Annapolis Hudson Street,B,0-100,259,15-Nov,Multi,Reynolds,
Fitzgerald Auto Mall Chambersburg,A,101-175,236,15-Nov,Multi,Reynolds,
Fitzgerald Auto Mall Clearwater,B,101-175,261,10-Jun,Multi,Reynolds,
Fitzgerald Auto Mall Frederick,no rating,175-300,460,21-30,Multi Point,Reynolds,
Fitzgerald Auto Mall Lexington Park,no rating,101-175,300,10-Jun,Multi Point,Reynolds,
Fitzgerald Auto Mall Wheaton,,,,,,,
Fitzgerald Auto Mall White Flint,A,175-300,353,15-Nov,Multi,Reynolds,
Fitzgerald Auto Mall White Flint Nicholson,A,0-100,136,0-5,Multi,Reynolds,
Fitzgerald Auto Sales,B,31-49,50,10-Jun,Multi,DealerCenter (Westlake),
Fitzgerald Chrysler Dodge Jeep Ram,no rating,,119,,Multi Point,Reynolds,
Fitzgerald Custom Appraisal Tool,,,,,,,
Fitzgerald Ford And Lincoln,B,,220,10-Jun,Multi Point,Reynolds,
Fitzgerald Hyundai Subaru of Gaithersburg,B,0-100,235,15-Nov,Multi,Reynolds,
Fitzgerald Motors,no rating,,,,,,
Fitzgerald Motorsports,no rating,,,,,,
Fitzgeralds Car Company,C,16-30,50,0-5,Single,DealerSolutions (KGI),
Fitzgeralds Gaithersburg Hyundai,A,0-100,409,21-30,Multi,Reynolds,
Fitzgeralds Lakeforest Toyota,A,300+,551,21-30,Multi,Reynolds,
Fitzgerald Used Car Outlet,D,15-Jan,75,0-5,Single,None,
Fitzpatrick & Lambert Inc,C,,91,,,,
Fitzpatrick Motors Inc,D,15-Jan,25,0-5,Multi Point,Frazer,
Fitzpatricks Jeep,no rating,,249,,,,
Fitz Wholesale Truck and Auto LLC,D,15-Jan,2,0-5,Single,Wayne Reaves,
Fiuza Motors LLC,A,31-49,100,0-5,Single,DealerTrack,
"Five and Dime Certified Sales, LLC",no rating,,,,,FEX (FinanceExpress),
Five County Auto Sales Inc.,C,15-Jan,20,0-5,Single,Frazer,
Five Forks Auto Sales,D,15-Jan,20,0-5,Single,,
Five Guys Imports,C,16-30,40,0-5,Single,Frazer,
"Five-n-Drive Auto Sales, Inc",D,15-Jan,15,0-5,Single,Frazer,
Five-O Motors Llc,no rating,,,,,,
Five Point Auto Group,B,,100,,,,
Five Point Auto Sales Of Decatur,A,31-49,150,0-5,Multi,Frazer,
Five Point Auto Sales of Stone Mountain,A,31-49,150,0-5,Multi,Frazer,
Five Star Auto,no rating,,,,,,
Five Star Auto Detailing,no rating,,,,,,
Five Star Auto Direct LLC,no rating,,,,,,
Five Star Auto Group,B,31-49,65,0-5,Multi Point,DealerCenter (Westlake),
Five Star Auto Group,,,,,,FEX (FinanceExpress),
Five Star Auto Llc,,,,,,,
Five Star Autoplex,,,,,,FEX (FinanceExpress),
Five Star Auto Sales,C,16-30,60,0-5,Single,AutoManager (DeskManager),
Five Star Auto Sales,D,15-Jan,30,0-5,Single,Frazer,
Five Star Auto Sales,,,,,,,
Five Star Auto Sales,,,,,,,
Five-Star Auto Sales,B,31-49,50,0-5,Single,None,
Five Star Auto Sales - Biddeford,A,50+,175,0-5,Single,Frazer,
Five Star Auto Sales Corp.,B,31-49,,0-5,Single,None,
Five Star Auto Sales LLC,B,31-49,50,0-5,Multi,Frazer,
Five Star Auto Sales LLC,D,15-Jan,10,0-5,Single,None,
Five Star Auto Sales - Mora,no rating,,,,,,
Five Star Auto Salvage,,,,,,,
Five Star Car and Truck LLC,D,15-Jan,50,0-5,Single,Frazer,
Five Star Chevrolet,No rating,,,,,ADP,ADP
Five Star Chevrolet Buick,no rating,101-175,218,6/10/2015 0:00,Multi,AutoMate,
Five Star Chevrolet Cadillac Buick GMC,A,101-175,656,11/15/2015 0:00,Multi,DealerTrack,
Five Star Chevrolet - Florence,no rating,,329,,,,
Five Star Chrysler Dodge Jeep Ram - Macon,A,175-300,439,,Multi,DealerTrack,
Five Star Chrysler Dodge Jeep Ram - Warner Robins,no rating,101-175,512,21-30,Multi,DealerTrack,
Five Star Corvettes,no rating,,,,,,
Five Star Ford,B,300+,1092,,Multi,ADP,
Five Star Ford Carrollton,No rating,,,,,ADP,
Five Star Ford Lincoln,no rating,,259,,,AutoMate,
Five Star Ford Lincoln - Warner Robins,No rating,101-175,2058,11/15/2015 0:00,Multi,DealerTrack,
Five Star Ford of Lewisville,No rating,300+,885,,Multi,ADP,
Five Star Ford Plano,no rating,,300,,,ADP,
Five Star Ford Stone Mountain,A,101-175,2033,11/15/2015 0:00,Multi,DealerTrack,
Five Star Hyundai - Macon,A,101-175,194,11/15/2015 0:00,Multi,DealerTrack,
Five Star Hyundai - Warner Robins,A,101-175,213,11/15/2015 0:00,Multi,DealerTrack,
Five Star Import,,,,,,,
Five Star Imports,,,,,,,
Five Star Mazda - Macon,A,175-300,1346,,Multi,DealerTrack,
Five Star Mitsubishi Altoona,C,101-175,517,6/10/2015 0:00,Single,AutoSoft,
Five Star Motorcars,D,15-Jan,,0-5,Single,Frazer,
